product_id_A,product_id_B,pair_count
616,1192,3
4240,9599,3
8937,9323,3
5301,6951,3
4978,5534,3
6399,8288,3
2328,3515,3
2121,3428,3
3576,9397,3
6538,8966,3
5856,6929,3
2947,7189,3
2985,6811,2
3602,6361,2
7893,8597,2
3485,5169,2
7174,9744,2
5329,9985,2
1831,6022,2
2964,6785,2
962,7676,2
3908,9921,2
7465,9029,2
3379,5831,2
1199,6717,2
6535,8071,2
8292,9120,2
8218,9045,2
2374,4120,2
4687,9509,2
2267,2994,2
7512,8680,2
4827,5535,2
4895,9805,2
794,3586,2
1678,7880,2
5168,8037,2
1433,3626,2
1433,7959,2
2177,6186,2
1579,9916,2
3979,8372,2
2118,3659,2
1811,4459,2
3506,6185,2
3259,5586,2
2477,4475,2
3731,4660,2
6854,7114,2
1667,8815,2
