product_category,total_sales,quantity,unit_price,product_stock,product_return_rate,product_rating,discount_applied,season,promotion_type,promotion_effectiveness,product_material,product_color,product_size,sales_velocity,estimated_margin,rating_norm,return_rate_norm,total_sales_norm,sales_velocity_norm,estimated_margin_norm,product_stock_norm,overstock_factor,quality_factor,promotion_score,upsell_score
Electronics,9999.98,4,590.74,36,0.14,4.1,0.17,Winter,Buy One Get One Free,Medium,Glass,Green,Medium,277.77722222222224,294.18852,0.7749999998062499,0.27999999944000004,0.999999999999899,0.027783528979776217,0.4900539285813313,0.36363636363269053,0.3535332621856012,0.5580000002944999,0.566370081307618,0.37634041386022105
Toys,9999.98,6,740.37,47,0.03,2.3,0.14,Summer,Flash Sale,Medium,Metal,Green,Small,212.76553191489361,382.03092,0.32499999991874995,0.05999999988,0.999999999999899,0.021281000920679655,0.6365355638477783,0.4747474747426793,0.46464437329559,0.30549999996262495,0.6817354401140446,0.4005090194870963
Toys,9999.98,5,776.42,30,0.17,3.7,0.48,Summer,Flash Sale,Medium,Plastic,Black,Medium,333.3326666666666,242.24304,0.67499999983125,0.33999999932,0.999999999999899,0.033340234775731455,0.4034322190754376,0.3030303030272421,0.2929272015801528,0.445500000347625,0.5103608885477742,0.3207987480656623
Clothing,9999.98,8,103.63,8,0.29,1.9,0.36,Winter,Flash Sale,Low,Glass,Green,Large,1249.9975,39.79392,0.22499999994374997,0.57999999884,0.999999999999899,0.12502588040899296,0.06583809418981088,0.08080808080726457,0.07070497936017527,0.094500000237375,0.2827363393837243,0.1454104866215658
Toys,9999.97,7,746.44,35,0.38,2.6,0.48,Winter,Buy One Get One Free,Medium,Metal,Blue,Medium,285.71342857142855,232.88928,0.3999999999,0.7599999984800001,0.9999989898958279,0.02857731551608286,0.3878343522060228,0.35353535353178245,0.3434322621878148,0.09600000058399996,0.46461603005141505,0.18155236643723582
Electronics,9999.96,8,531.81,94,0.48,3.2,0.14,Fall,20% Off,Low,Wood,White,Large,106.38255319148935,274.41396,0.5499999998625,0.95999999808,0.9999979797917569,0.010640479179296343,0.4570788517906872,0.9494949494853586,0.9393918682445126,0.022000001050499984,0.6938983646976175,0.15124782374805987
Furniture,9999.95,6,147.62,40,0.19,4.4,0.09,Winter,20% Off,Low,Wood,Black,Medium,249.99875000000003,80.60052,0.8499999997875001,0.37999999924000005,0.999996969687686,0.02500510106612032,0.13388515913411794,0.4040404040363228,0.39393733289859845,0.52700000051425,0.4790452028437448,0.24731733333022748
Toys,9999.95,6,665.94,81,0.13,1.3,0.04,Summer,20% Off,Low,Metal,Green,Small,123.45617283950618,383.58144,0.07499999998125001,0.25999999948,0.999996969687686,0.012348198057343367,0.6391211342000608,0.8181818181735537,0.8080787470358294,0.05550000002512501,0.7915421428308783,0.3181582096631134
Groceries,9999.94,8,646.71,6,0.17,1.6,0.41,Fall,Flash Sale,Medium,Metal,Blue,Medium,1666.6566666666668,228.93534000000002,0.14999999996250002,0.33999999932,0.999995959583615,0.16670050707262818,0.3812409577069493,0.060606060605448424,0.05050299957084574,0.09900000007725,0.38117133794255,0.29151746490495467
Groceries,9999.93,8,522.38,98,0.41,1.1,0.32,Summer,Flash Sale,High,Glass,Red,Small,102.04010204081634,213.13103999999998,0.02499999999375002,0.81999999836,0.9999949494795439,0.01020614328802781,0.35488648983902316,0.9898989898889908,0.9797959389575098,0.004500000039875003,0.7055987696311542,0.13793809735649168
